category_uid,category_name,category_description,category_parent_id
220-050501,"Battery Service","Power source maintenance",220-050500
220-050502,"Starter Repair","Engine start system service",220-050500
220-050503,"Alternator Service","Charging system repair",220-050500
220-050504,"Wiring Repair","Electrical circuit service",220-050500
220-050505,"Sensor Maintenance","Electronic sensor service",220-050500
220-050600,"Suspension Services","Suspension system maintenance",220-050000
220-050601,"Shock Replacement","Shock absorber service",220-050600
220-050602,"Spring Service","Suspension spring repair",220-050600
220-050603,"Strut Assembly","Strut system maintenance",220-050600
220-050604,"Bushing Replacement","Suspension joint service",220-050600
220-050605,"Stabilizer Service","Sway bar maintenance",220-050600
220-050700,"Body Repair","Vehicle body work and repair",220-050000
220-050701,"Collision Repair","Accident damage repair",220-050700
220-050702,"Dent Removal","Dent repair services",220-050700
220-050703,"Rust Repair","Rust damage restoration",220-050700
220-050704,"Panel Replacement","Body panel services",220-050700
220-050705,"Frame Repair","Vehicle frame services",220-050700
220-050800,"Paint Services","Vehicle painting and finishing",220-050000
220-050801,"Full Painting","Complete vehicle painting",220-050800
220-050802,"Spot Repair","Partial area refinishing",220-050800
220-050803,"Clear Coating","Protective layer application",220-050800
220-050804,"Color Matching","Paint shade alignment",220-050800
220-050805,"Paint Protection","Finish preservation service",220-050800
220-050900,"Glass Services","Auto glass repair and replacement",220-050000
220-050901,"Windshield Repair","Glass crack restoration",220-050900
220-050902,"Window Replacement","Auto glass installation",220-050900
220-050903,"Tint Application","Window film installation",220-050900
220-050904,"Chip Repair","Minor damage restoration",220-050900
220-050905,"Seal Service","Window seal maintenance",220-050900
220-051000,"Performance Upgrades","Vehicle performance enhancement",220-050000
220-051001,"Engine Tuning","Performance engine work",220-051000
220-051002,"Exhaust Upgrades","Exhaust system enhancement",220-051000
220-051003,"Suspension Upgrades","Performance suspension",220-051000
220-051004,"Brake Upgrades","Performance brake systems",220-051000
220-051005,"Turbo Installation","Turbocharger services",220-051000
220-051100,"Custom Modifications","Vehicle customization services",220-050000
220-051101,"Body Kits","Exterior modification installation",220-051100
220-051102,"Interior Customization","Cabin modification service",220-051100
220-051103,"Sound Systems","Audio equipment installation",220-051100
220-051104,"Lighting Upgrades","Custom light installation",220-051100
220-051105,"Performance Tuning","Vehicle enhancement service",220-051100
220-051200,"Detailing Services","Vehicle cleaning and detailing",220-050000
220-051201,"Interior Detailing","Inside cleaning services",220-051200
220-051202,"Exterior Detailing","Outside cleaning services",220-051200
220-051203,"Paint Protection","Paint preservation services",220-051200
220-051204,"Ceramic Coating","Advanced paint protection",220-051200
220-051205,"Odor Removal","Interior deodorizing",220-051200
220-051300,"Tire Sales","Tire retail and installation",220-050000
220-051301,"All-Season Tires","Year-round tire sales",220-051300
220-051302,"Performance Tires","High-performance tire retail",220-051300
220-051303,"Winter Tires","Cold weather tire sales",220-051300
220-051304,"Commercial Tires","Business vehicle tires",220-051300
220-051305,"Off-Road Tires","All-terrain tire options",220-051300
220-051400,"Wheel Services","Wheel repair and maintenance",220-050000
220-051401,"Wheel Balancing","Rotation balance service",220-051400
220-051402,"Rim Repair","Wheel damage restoration",220-051400
220-051403,"Custom Wheels","Specialty wheel installation",220-051400
220-051404,"Wheel Refinishing","Rim appearance restoration",220-051400
220-051405,"Tire Mounting","Wheel assembly service",220-051400
220-051500,"Alignment Services","Wheel alignment and balancing",220-050000
220-051501,"Four-Wheel Alignment","Complete alignment service",220-051500
220-051502,"Toe Adjustment","Wheel angle correction",220-051500
220-051503,"Camber Correction","Vertical tilt adjustment",220-051500
220-051504,"Caster Setting","Steering axis alignment",220-051500
220-051505,"Thrust Angle","Rear wheel alignment",220-051500
220-051600,"Towing Services","Vehicle towing and transport",220-050000
220-051601,"Local Towing","Short-distance vehicle transport",220-051600
220-051602,"Long Distance Towing","Extended route vehicle moving",220-051600
220-051603,"Heavy Duty Towing","Large vehicle transportation",220-051600
220-051604,"Motorcycle Towing","Specialized bike transport",220-051600
220-051605,"Recovery Service","Vehicle extraction assistance",220-051600
220-051700,"Roadside Assistance","Emergency roadside help",220-050000
220-051701,"Jump Start Service","Battery jump services",220-051700
220-051702,"Tire Change Service","Roadside tire help",220-051700
220-051703,"Fuel Delivery","Emergency fuel service",220-051700
220-051704,"Lockout Service","Vehicle entry assistance",220-051700
220-051705,"Winching Service","Vehicle recovery help",220-051700
220-051800,"Emergency Repair","Urgent repair services",220-050000
220-051801,"Breakdown Service","Immediate vehicle repair",220-051800
220-051802,"Tire Emergency","Urgent tire replacement",220-051800
220-051803,"Battery Jump-Start","Emergency power service",220-051800
220-051804,"Lockout Service","Vehicle entry assistance",220-051800
220-051805,"Fuel Delivery","Emergency gas provision",220-051800
220-051900,"Computer Diagnostics","Electronic system testing",220-050000
220-051901,"Engine Diagnostics","Engine system testing",220-051900
220-051902,"Electrical Testing","Electrical system checks",220-051900
220-051903,"Emissions Diagnostics","Emissions system testing",220-051900
220-051904,"Transmission Diagnostics","Transmission testing",220-051900
220-051905,"Brake Diagnostics","Brake system analysis",220-051900
220-052000,"Inspection Services","Vehicle inspection and testing",220-050000
220-052001,"Safety Inspection","Vehicle safety verification",220-052000
220-052002,"Pre-Purchase Check","Buyer inspection service",220-052000
220-052003,"State Inspection","Government compliance check",220-052000
220-052004,"Commercial Inspection","Fleet vehicle examination",220-052000
220-052005,"Insurance Inspection","Coverage requirement check",220-052000
220-052100,"Emissions Testing","Emissions system checking",220-050000
220-052101,"Smog Check","Exhaust emission testing",220-052100
220-052102,"Catalytic Testing","Converter efficiency check",220-052100
220-052103,"Oxygen Sensor Test","O2 sensor verification",220-052100
220-052104,"Evap System Check","Vapor system inspection",220-052100
220-052105,"Diesel Testing","Diesel emission verification",220-052100
220-052200,"Fleet Services","Commercial fleet maintenance",220-050000
220-052201,"Fleet Maintenance","Regular fleet upkeep",220-052200
220-052202,"Fleet Management","Vehicle fleet oversight",220-052200
220-052203,"DOT Compliance","Regulation compliance",220-052200
220-052204,"Fleet Tracking","Vehicle tracking services",220-052200
220-052205,"Fleet Safety Programs","Safety management services",220-052200
220-052300,"RV Services","Recreational vehicle services",220-050000
220-052301,"RV Maintenance","Recreational vehicle upkeep",220-052300
220-052302,"Interior Repair","RV cabin restoration",220-052300
220-052303,"System Servicing","RV utilities maintenance",220-052300
220-052304,Winterization,"Seasonal RV preparation",220-052300
220-052305,"Generator Service","RV power system maintenance",220-052300
220-052400,"Motorcycle Services","Motorcycle repair and maintenance",220-050000
220-052401,"Bike Maintenance","Motorcycle general service",220-052400
220-052402,"Performance Tuning","Motorcycle power enhancement",220-052400
220-052403,"Chain Service","Drive chain maintenance",220-052400
220-052404,"Carb Cleaning","Carburetor maintenance",220-052400
220-052405,"Brake Service","Motorcycle brake repair",220-052400
220-052500,"Electric Vehicle Services","EV maintenance and repair",220-050000
220-052501,"EV Battery Service","Battery maintenance",220-052500
220-052502,"Charging System Repair","Charging system work",220-052500
220-052503,"Electric Motor Service","Motor maintenance",220-052500
220-052504,"EV Software Updates","System software services",220-052500
220-052505,"EV Diagnostics","Electric system testing",220-052500
220-060000,"Education & Training","Learning and skill development",NULL
220-060100,"Primary Education","Elementary school level education",220-060000
220-060101,"Elementary Teaching","Basic education instruction",220-060100
220-060102,"After School Programs","Post-school activities",220-060100
220-060103,"Reading Programs","Literacy skill development",220-060100
220-060104,"Math Programs","Mathematics education",220-060100
220-060105,"Science Programs","Science education services",220-060100
220-060200,"Secondary Education","High school level education",220-060000
220-060201,"Core Curriculum","Standard subject instruction",220-060200
220-060202,"Advanced Placement","College-level coursework",220-060200
220-060203,"Career Guidance","Professional path planning",220-060200
220-060204,"Extracurricular Programs","Additional learning activities",220-060200
220-060205,"College Preparation","University readiness programs",220-060200
220-060300,"Higher Education","College and university education",220-060000
220-060301,"Undergraduate Studies","Bachelor degree programs",220-060300
220-060302,"Graduate Programs","Masters level education",220-060300
220-060303,"Doctoral Studies","PhD level instruction",220-060300
220-060304,"Research Programs","Academic investigation",220-060300
220-060305,"Professional Degrees","Career-specific education",220-060300
220-060400,"Business Training","Business skills development",220-060000
220-060401,"Management Training","Management skill development",220-060400
220-060402,"Sales Training","Sales skill enhancement",220-060400
220-060403,"Marketing Education","Marketing skill development",220-060400
220-060404,"Finance Training","Financial education services",220-060400
220-060405,"Project Management","PM certification training",220-060400
220-060500,"Technical Training","Technical skills education",220-060000
220-060501,"Engineering Skills","Technical engineering training",220-060500
220-060502,"Industrial Training","Manufacturing skill development",220-060500
220-060503,"Equipment Operation","Machinery handling instruction",220-060500
220-060504,"Safety Protocols","Technical safety education",220-060500
220-060505,"Quality Control","Inspection process training",220-060500
220-060600,"Leadership Training","Leadership development programs",220-060000
220-060601,"Strategic Planning","Leadership strategy development",220-060600
220-060602,"Team Management","Group leadership skills",220-060600
220-060603,"Decision Making","Leadership choice training",220-060600
220-060604,"Change Leadership","Organizational change guidance",220-060600
220-060605,"Executive Development","Senior leadership training",220-060600
220-060700,"Language Schools","Foreign language instruction",220-060000
220-060701,"Spanish Language","Spanish instruction services",220-060700
220-060702,"French Language","French instruction services",220-060700
220-060703,"Chinese Language","Chinese instruction services",220-060700
220-060704,"Japanese Language","Japanese instruction services",220-060700
220-060705,"German Language","German instruction services",220-060700
220-060800,"ESL Programs","English as Second Language",220-060000
220-060801,"Beginner English","Basic language introduction",220-060800
220-060802,"Business English","Professional language skills",220-060800
220-060803,"Academic English","Educational language prep",220-060800
220-060804,"Conversation Skills","Speaking practice sessions",220-060800
220-060805,"Writing Development","Written English training",220-060800
220-060900,"Language Tutoring","One-on-one language instruction",220-060000
220-060901,"Private Instruction","One-on-one language coaching",220-060900
220-060902,"Grammar Focus","Language structure training",220-060900
220-060903,"Pronunciation Help","Speech improvement coaching",220-060900
220-060904,"Test Preparation","Language exam training",220-060900
220-060905,"Cultural Learning","Language context education",220-060900
220-061000,"Music Education","Musical instruction and training",220-060000
220-061001,"Piano Lessons","Piano instruction services",220-061000
220-061002,"Guitar Lessons","Guitar instruction services",220-061000
220-061003,"Vocal Training","Voice instruction services",220-061000
220-061004,"Music Theory","Music theory education",220-061000
220-061005,"Band Programs","Group music instruction",220-061000
220-061100,"Visual Arts Education","Art instruction and training",220-060000
220-061101,"Drawing Classes","Sketching skill development",220-061100
220-061102,"Painting Instruction","Paint medium techniques",220-061100
220-061103,"Digital Art","Computer-based art creation",220-061100
220-061104,"Sculpture Classes","3D art form instruction",220-061100
220-061105,"Mixed Media","Multi-material art education",220-061100
220-061200,"Performing Arts","Theater and dance education",220-060000
220-061201,"Acting Classes","Dramatic arts instruction",220-061200
220-061202,"Dance Training","Movement arts education",220-061200
220-061203,"Voice Training","Vocal performance coaching",220-061200
220-061204,"Stage Production","Theater technical training",220-061200
220-061205,"Performance Workshop","Live presentation skills",220-061200
220-061300,"Computer Training","Computer skills education",220-060000
220-061301,"Basic Computing","Computer basics training",220-061300
220-061302,"Software Training","Software application training",220-061300
220-061303,"Web Development","Website creation training",220-061300
220-061304,Cybersecurity,"Security awareness training",220-061300
220-061305,"Data Analytics","Data analysis training",220-061300
220-061400,"Digital Skills","Digital literacy training",220-060000
220-061401,"Office Software","Productivity tool training",220-061400
220-061402,"Social Media","Online platform management",220-061400
220-061403,"Digital Marketing","Online promotion skills",220-061400
220-061404,"Data Analysis","Information processing skills",220-061400
220-061405,"Cloud Computing","Remote technology usage",220-061400
220-061500,"Coding Education","Programming instruction",220-060000
220-061501,"Web Development","Website creation training",220-061500
220-061502,"Mobile Programming","App development education",220-061500
220-061503,"Database Design","Data structure training",220-061500
220-061504,"Game Development","Game programming education",220-061500
220-061505,"Software Engineering","Programming methodology",220-061500
220-061600,"Learning Support","Educational assistance services",220-060000
220-061601,"Study Skills","Learning strategy development",220-061600
220-061602,"Academic Coaching","Educational performance support",220-061600
220-061603,"Reading Support","Literacy skill enhancement",220-061600
220-061604,"Writing Assistance","Composition skill development",220-061600
220-061605,"Math Support","Mathematical concept guidance",220-061600
220-061700,"Gifted Education","Advanced learning programs",220-060000
220-061701,"Advanced Programs","Accelerated learning courses",220-061700
220-061702,"Enrichment Classes","Enhanced learning programs",220-061700
220-061703,"Research Projects","Independent study guidance",220-061700
220-061704,"Creative Development","Innovation skill building",220-061700
220-061705,"Critical Thinking","Advanced reasoning skills",220-061700
220-061800,"Special Needs Education","Specialized learning support",220-060000
220-061801,"Learning Disabilities","Learning disability support",220-061800
220-061802,"Autism Support","Autism education services",220-061800
220-061803,"ADHD Support","ADHD education services",220-061800
220-061804,"Speech Therapy","Speech development services",220-061800
220-061805,"Behavioral Support","Behavior management education",220-061800
220-061900,"Academic Testing","Test preparation services",220-060000
220-061901,"SAT Prep","SAT examination preparation",220-061900
220-061902,"ACT Prep","ACT examination preparation",220-061900
220-061903,"GRE Prep","GRE examination preparation",220-061900
220-061904,"GMAT Prep","GMAT examination preparation",220-061900
220-061905,"LSAT Prep","LSAT examination preparation",220-061900
220-062000,"Professional Certification","Certification exam prep",220-060000
220-062001,"Industry Exams","Sector-specific certification",220-062000
220-062002,"License Preparation","Professional license training",220-062000
220-062003,"Continuing Education","Ongoing professional development",220-062000
220-062004,"Skills Assessment","Competency evaluation prep",220-062000
220-062005,"Renewal Training","Certification maintenance",220-062000
220-062100,"College Prep","College entrance preparation",220-060000
220-062101,"Admission Planning","University entry strategy",220-062100
220-062102,"Essay Writing","Application essay guidance",220-062100
220-062103,"Interview Prep","Admission interview training",220-062100
220-062104,"Portfolio Development","Achievement documentation",220-062100
220-062105,"Financial Planning","College funding guidance",220-062100
220-062200,"Vocational Training","Career-specific education",220-060000
220-062201,"Trades Training","Skilled trades education",220-062200
220-062202,"Healthcare Training","Healthcare career preparation",220-062200
220-062203,"Culinary Arts","Cooking and food preparation",220-062200
220-062204,"Beauty School","Cosmetology training",220-062200
220-062205,"Aviation Training","Aviation career preparation",220-062200
220-062300,"Adult Education","Continuing education programs",220-060000
220-062301,"Career Change","Professional transition support",220-062300
220-062302,"Basic Education","Fundamental skill development",220-062300
220-062303,"Personal Growth","Individual development courses",220-062300
220-062304,"Hobby Classes","Recreational learning programs",220-062300
220-062305,"Senior Education","Elder learning opportunities",220-062300
220-062400,"Life Skills Training","Practical skills education",220-060000
220-062401,"Financial Literacy","Money management education",220-062400
220-062402,"Time Management","Productivity skill building",220-062400
220-062403,"Communication Skills","Interpersonal interaction training",220-062400
220-062404,"Problem Solving","Critical solution development",220-062400
220-062405,"Stress Management","Personal wellness strategies",220-062400
220-062500,"Online Learning","Distance education programs",220-060000
220-062501,"Virtual Classrooms","Online class platforms",220-062500
220-062502,"Video Courses","Recorded course content",220-062500
220-062503,"Interactive Learning","Engagement-based learning",220-062500
220-062504,"Mobile Learning","Phone-based education",220-062500
220-062505,"Hybrid Programs","Mixed online/offline learning",220-062500
220-070000,"Events & Entertainment","Entertainment and event services",NULL
220-070100,"Wedding Planning","Wedding event planning services",220-070000
220-070101,"Full Service Planning","Complete wedding planning",220-070100
220-070102,"Day-of Coordination","Wedding day management",220-070100
220-070103,"Destination Weddings","Remote location weddings",220-070100
220-070104,"Wedding Design","Wedding aesthetic planning",220-070100
220-070105,"Wedding Consulting","Wedding planning advice",220-070100
220-070200,"Corporate Events","Business event planning services",220-070000
220-070201,"Business Conferences","Professional meeting organization",220-070200
220-070202,"Team Building","Employee engagement events",220-070200
220-070203,"Product Launches","New product presentation",220-070200
220-070204,"Award Ceremonies","Recognition event planning",220-070200
220-070205,"Trade Shows","Industry exhibition management",220-070200
220-070300,"Private Events","Personal event planning services",220-070000
220-070301,"Birthday Celebrations","Age milestone events",220-070300
220-070302,"Anniversary Parties","Relationship celebration events",220-070300
220-070303,"Graduation Events","Academic achievement parties",220-070300
220-070304,"Family Reunions","Extended family gatherings",220-070300
220-070305,"Holiday Parties","Seasonal celebration events",220-070300
220-070400,"Live Music","Live musical performance services",220-070000
220-070401,"Wedding Bands","Wedding music performance",220-070400
220-070402,"Cover Bands","Popular music performers",220-070400
220-070403,"Classical Musicians","Classical music performers",220-070400
220-070404,"Jazz Bands","Jazz music performance",220-070400
220-070405,"Solo Performers","Individual musicians",220-070400
220-070500,"DJ Services","Music and entertainment DJs",220-070000
220-070501,"Wedding DJ","Marriage celebration music",220-070500
220-070502,"Club DJ","Nightlife entertainment service",220-070500
220-070503,"Corporate DJ","Business event music service",220-070500
220-070504,"Mobile DJ","Portable music entertainment",220-070500
220-070505,"Event Emcee","Professional event hosting",220-070500
220-070600,"Performance Artists","Live performance services",220-070000
220-070601,Magicians,"Magic show entertainment",220-070600
220-070602,Comedians,"Comedy performance service",220-070600
220-070603,Dancers,"Dance performance shows",220-070600
220-070604,Acrobats,"Acrobatic entertainment",220-070600
220-070605,"Specialty Acts","Unique performance shows",220-070600
220-070700,"Audio/Visual Services","Event AV equipment and support",220-070000
220-070701,"Sound Systems","Audio equipment rental",220-070700
220-070702,"Video Production","Event video services",220-070700
220-070703,"Projection Systems","Visual display services",220-070700
220-070704,"Live Streaming","Event broadcast services",220-070700
220-070705,"Technical Support","AV technical assistance",220-070700
220-070800,"Lighting Services","Event lighting solutions",220-070000
220-070801,"Stage Lighting","Performance illumination setup",220-070800
220-070802,"Ambient Lighting","Mood lighting design",220-070800
220-070803,"Special Effects","Dramatic lighting effects",220-070800
220-070804,"Architectural Lighting","Venue feature illumination",220-070800
220-070805,"LED Installations","Digital lighting systems",220-070800
220-070900,"Stage Production","Stage setup and management",220-070000
220-070901,"Set Design","Stage environment creation",220-070900
220-070902,"Sound Engineering","Audio production management",220-070900
220-070903,"Technical Direction","Production coordination",220-070900
220-070904,"Stage Management","Performance flow control",220-070900
220-070905,"Rigging Services","Equipment setup support",220-070900
220-071000,"Catering Services","Event food and beverage service",220-070000
220-071001,"Full-Service Catering","Complete meal service",220-071000
220-071002,"Buffet Service","Self-service meal options",220-071000
220-071003,"Bar Service","Beverage service provision",220-071000
220-071004,"Food Trucks","Mobile food service",220-071000
220-071005,"Specialty Catering","Dietary-specific catering",220-071000
220-071100,"Event Rentals","Equipment and furniture rental",220-070000
220-071101,"Furniture Rental","Event seating and tables",220-071100
220-071102,"Tent Rental","Outdoor coverage solutions",220-071100
220-071103,"Decor Rental","Event decoration items",220-071100
220-071104,"Equipment Rental","Event technology rental",220-071100
220-071105,"Linen Rental","Table covering service",220-071100
220-071200,"Event Staffing","Temporary event personnel",220-070000
220-071201,"Server Staffing","Food service personnel",220-071200
220-071202,"Security Personnel","Event protection staff",220-071200
220-071203,"Setup Crew","Event preparation team",220-071200
220-071204,"Coat Check Staff","Garment storage service",220-071200
220-071205,"Valet Service","Parking management staff",220-071200
220-071300,"Event Venues","Event location facilities",220-070000
220-071301,"Banquet Halls","Large group facilities",220-071300
220-071302,"Conference Centers","Business meeting spaces",220-071300
220-071303,"Wedding Venues","Wedding ceremony locations",220-071300
220-071304,"Historic Venues","Historical event spaces",220-071300
220-071305,"Modern Venues","Contemporary event spaces",220-071300
220-071400,"Outdoor Venues","Open-air event spaces",220-070000
220-071401,"Garden Venues","Botanical event spaces",220-071400
220-071402,"Beachfront Locations","Coastal event areas",220-071400
220-071403,"Park Facilities","Public space venues",220-071400
220-071404,"Rooftop Venues","Elevated outdoor spaces",220-071400
220-071405,"Vineyard Settings","Wine estate locations",220-071400
220-071500,"Reception Halls","Indoor event facilities",220-070000
220-071501,Ballrooms,"Large formal venues",220-071500
220-071502,"Community Centers","Public gathering spaces",220-071500
220-071503,"Hotel Venues","Accommodation event spaces",220-071500
220-071504,"Restaurant Venues","Dining event locations",220-071500
220-071505,"Private Clubs","Member facility rentals",220-071500
220-071600,"Festival Management","Festival planning and execution",220-070000
220-071601,"Music Festivals","Music event management",220-071600
220-071602,"Food Festivals","Culinary event planning",220-071600
220-071603,"Art Festivals","Arts event organization",220-071600
220-071604,"Cultural Festivals","Cultural event planning",220-071600
220-071605,"Film Festivals","Movie event management",220-071600
220-071700,"Sports Events","Athletic event organization",220-070000
220-071701,"Tournament Planning","Competition event organization",220-071700
220-071702,"Athletic Meets","Sports competition management",220-071700
220-071703,"Fan Events","Spectator gathering coordination",220-071700
220-071704,"Sports Banquets","Athletic celebration events",220-071700
220-071705,"Training Camps","Athletic instruction events",220-071700
220-071800,"Cultural Events","Cultural celebration planning",220-070000
220-071801,"Art Exhibitions","Creative work showcases",220-071800
220-071802,"Heritage Festivals","Cultural celebration events",220-071800
220-071803,"Food Festivals","Culinary celebration events",220-071800
220-071804,"Film Screenings","Movie premiere events",220-071800
220-071805,"Dance Festivals","Movement art celebrations",220-071800
220-071900,"Nightlife Venues","Evening entertainment facilities",220-070000
220-071901,"Dance Clubs","Music and dance venues",220-071900
220-071902,Lounges,"Relaxed evening venues",220-071900
220-071903,"Live Music Bars","Performance drink venues",220-071900
220-071904,"Comedy Clubs","Humor entertainment venues",220-071900
220-071905,"Karaoke Bars","Interactive singing venues",220-071900
220-072000,"Theater Venues","Performance space facilities",220-070000
220-072001,"Drama Theaters","Play performance venues",220-072000
220-072002,"Musical Theaters","Music performance spaces",220-072000
220-072003,"Black Box Theaters","Experimental stage spaces",220-072000
220-072004,Amphitheaters,"Outdoor performance venues",220-072000
220-072005,"Dinner Theaters","Dining show venues",220-072000
220-072100,"Concert Venues","Music performance facilities",220-070000
220-072101,"Arena Venues","Large concert facilities",220-072100
220-072102,"Intimate Venues","Small concert spaces",220-072100
220-072103,"Orchestra Halls","Classical music venues",220-072100
220-072104,"Festival Grounds","Outdoor concert spaces",220-072100
220-072105,"Jazz Clubs","Jazz performance venues",220-072100
220-072200,"Event Photography","Professional event photography",220-070000
220-072201,"Wedding Photography","Wedding photo services",220-072200
220-072202,"Corporate Photography","Business event photos",220-072200
220-072203,"Event Videography","Event video recording",220-072200
220-072204,"Photo Booth Services","Interactive photo stations",220-072200
220-072205,"Drone Photography","Aerial event photography",220-072200
220-072300,"Event Security","Event safety and security",220-070000
220-072301,"Crowd Control","Audience management services",220-072300
220-072302,"Access Control","Entry point security",220-072300
220-072303,"VIP Protection","Personal security services",220-072300
220-072304,"Emergency Response","Security incident handling",220-072300
220-072305,"Security Planning","Event security strategy",220-072300
220-072400,"Event Marketing","Event promotion services",220-070000
220-072401,"Digital Promotion","Online event marketing",220-072400
220-072402,"Print Advertising","Physical marketing materials",220-072400
220-072403,"Media Relations","Press coverage coordination",220-072400
220-072404,"Social Media","Platform event promotion",220-072400
220-072405,"Ticket Sales","Event admission marketing",220-072400
220-072500,"Virtual Events","Online event management",220-070000
220-072501,"Virtual Conferences","Online conference management",220-072500
220-072502,"Webinar Production","Web seminar services",220-072500
220-072503,"Virtual Team Building","Online group activities",220-072500
220-072504,"Hybrid Events","Combined in-person/virtual",220-072500
220-072505,"Virtual Entertainment","Online performance events",220-072500
220-080000,"Pet Services","Animal care and services",NULL
220-080100,"General Veterinary","Basic veterinary medical care",220-080000
220-080101,"Routine Checkups","Regular pet health checks",220-080100
220-080102,Vaccinations,"Pet immunization services",220-080100
220-080103,"Dental Care","Pet dental services",220-080100
220-080104,"Spay & Neuter","Pet sterilization services",220-080100
220-080105,Microchipping,"Pet identification services",220-080100
220-080200,"Emergency Vet Care","Urgent pet medical services",220-080000
220-080201,"Trauma Care","Emergency injury treatment",220-080200
220-080202,"Critical Care","Life-threatening condition care",220-080200
220-080203,"Emergency Surgery","Urgent surgical procedures",220-080200
220-080204,"Poison Treatment","Toxin exposure care",220-080200
220-080205,"After Hours Care","24-hour emergency service",220-080200
220-080300,"Specialized Vet Care","Specialized animal treatment",220-080000
220-080306,Endocrinology,"Hormone disorder treatment",220-080300
220-080307,Ophthalmology,"Eye condition treatment",220-080300
220-080308,"Internal Medicine","Complex disease treatment",220-080300
220-080309,Rehabilitation,"Recovery therapy service",220-080300
220-080310,"Dental Surgery","Advanced dental procedures",220-080300
220-080400,"Pet Grooming","Animal grooming and cleaning",220-080000
220-080401,"Full Grooming","Complete pet grooming service",220-080400
220-080402,"Bath & Brush","Basic grooming service",220-080400
220-080403,"Nail Trimming","Pet nail care services",220-080400
220-080404,"Breed-Specific Cuts","Specialized breed grooming",220-080400
220-080405,De-matting,"Fur maintenance service",220-080400
220-080500,"Pet Boarding","Pet overnight care services",220-080000
220-080501,"Kennel Boarding","Standard pet lodging",220-080500
220-080502,"Luxury Suites","Premium pet accommodation",220-080500
220-080503,"Cat Boarding","Feline lodging service",220-080500
220-080504,"Long Term Stay","Extended boarding care",220-080500
220-080505,"Medical Boarding","Care during treatment",220-080500
220-080600,"Pet Daycare","Daytime pet care services",220-080000
220-080601,"Full Day Care","All-day pet supervision",220-080600
220-080602,"Half Day Care","Partial day supervision",220-080600
220-080603,"Puppy Daycare","Young dog supervision",220-080600
220-080604,"Senior Daycare","Elderly pet supervision",220-080600
220-080605,"Special Needs Care","Specialized pet supervision",220-080600
220-080700,"Dog Training","Canine behavior training",220-080000
220-080701,"Puppy Training","Young dog training basics",220-080700
220-080702,"Advanced Training","Complex command training",220-080700
220-080703,"Behavior Modification","Problem behavior correction",220-080700
220-080704,"Group Classes","Group dog training sessions",220-080700
220-080705,"Private Training","One-on-one dog training",220-080700
220-080800,"Obedience Training","Pet behavior modification",220-080000
220-080801,"Group Classes","Multi-dog training sessions",220-080800
220-080802,"Private Lessons","One-on-one training",220-080800
220-080803,"Board and Train","Residential training program",220-080800
220-080804,"E-Collar Training","Electronic training methods",220-080800
220-080805,"Positive Reinforcement","Reward-based training",220-080800
220-080900,"Specialized Training","Special skills pet training",220-080000
220-080901,"Service Dog Training","Assistance dog preparation",220-080900
220-080902,"Therapy Dog Training","Emotional support training",220-080900
220-080903,"Agility Training","Athletic course training",220-080900
220-080904,"Search Training","Detection dog preparation",220-080900
220-080905,"Show Training","Competition preparation",220-080900
220-081000,"Dog Walking","Professional dog walking",220-080000
220-081001,"Private Walks","Individual dog walking",220-081000
220-081002,"Group Walks","Multiple dog walking service",220-081000
220-081003,"Puppy Walks","Young dog exercise service",220-081000
220-081004,"Senior Walks","Elderly dog walking care",220-081000
220-081005,"Adventure Walks","Extended hiking service",220-081000
220-081100,"Pet Sitting","In-home pet care services",220-080000
220-081101,"Overnight Sitting","Extended pet care service",220-081100
220-081102,"Daily Visits","Regular check-in service",220-081100
220-081103,"Vacation Care","Holiday pet sitting",220-081100
220-081104,"Medical Care Sitting","Special needs pet sitting",220-081100
220-081105,"Extended Stay Care","Long-term pet sitting",220-081100
220-081200,"House Calls","Mobile pet care services",220-080000
220-081201,"Home Veterinary","In-home pet medical care",220-081200
220-081202,"Mobile Grooming","At-home pet grooming service",220-081200
220-081203,"Behavior Training","Home pet behavior coaching",220-081200
220-081204,"Wellness Checks","Home pet health screening",220-081200
220-081205,"Palliative Care","Home end-of-life care",220-081200
220-081300,"Pet Food","Animal food and nutrition",220-080000
220-081301,"Premium Pet Food","High-quality pet nutrition",220-081300
220-081302,"Prescription Diet","Medical diet products",220-081300
220-081303,"Raw Food Diet","Unprocessed pet food",220-081300
220-081304,"Special Diet","Dietary restriction food",220-081300
220-081305,Supplements,"Pet nutritional supplements",220-081300
220-081400,"Pet Accessories","Pet supplies and equipment",220-080000
220-081401,"Pet Bedding","Animal sleep products",220-081400
220-081402,"Pet Carriers","Animal transport equipment",220-081400
220-081403,"Pet Toys","Animal enrichment items",220-081400
220-081404,"Pet Clothing","Animal apparel products",220-081400
220-081405,"Feeding Equipment","Pet dining supplies",220-081400
220-081500,"Pet Medication","Pet pharmaceutical services",220-080000
220-081501,"Prescription Meds","Veterinary prescribed medicine",220-081500
220-081502,"Preventive Medicine","Disease prevention products",220-081500
220-081503,Supplements,"Pet health supplements",220-081500
220-081504,"First Aid","Emergency medical supplies",220-081500
220-081505,"Natural Remedies","Holistic pet treatments",220-081500
220-081600,"Pet Transportation","Pet relocation services",220-080000
220-081601,"Local Transport","Local pet transportation",220-081600
220-081602,"Long Distance","Extended travel transport",220-081600
